Group,Maths,Physics,English,Economics,Biology
65,53,64,15,83,63
65,82,54,65,87,93
65,43,89,56,71,88
65,77,49,97,84,75
65,47,46,41,64,55
65,58,45,40,64,98
65,34,23,62,60,77
66,53,85,29,95,75
66,81,23,59,74,68
66,96,78,21,77,68
66,52,26,56,97,27
66,39,42,58,61,83
66,33,72,53,71,80
66,63,84,21,69,84
66,80,21,88,72,64
66,67,71,74,74,94
66,90,39,74,55,68
66,94,29,79,90,18
66,94,75,55,95,39
66,57,28,29,61,72
67,37,90,35,88,75
67,15,73,27,88,68
67,92,93,26,72,83
67,96,48,78,86,98
67,95,63,79,67,47
67,77,77,88,62,20
67,28,92,89,84,24
67,60,64,25,96,54
67,69,32,54,58,24
67,13,19,77,88,45
67,29,33,70,95,30
67,96,45,30,90,81
67,79,58,63,66,17
67,69,54,91,94,74
67,43,66,57,96,47
68,46,57,60,83,93
68,33,39,38,62,24
68,12,71,12,76,38
68,58,66,61,99,63
68,32,19,80,60,86
68,93,59,15,85,96
68,47,32,99,87,55
68,38,73,23,91,48
68,43,51,41,80,45
68,91,18,65,99,87
68,73,33,76,96,97
69,31,10,43,76,10
69,17,93,52,90,68
69,33,36,37,94,78
69,43,29,22,87,40
69,68,92,14,91,55
69,67,99,86,93,60
69,90,14,25,79,21
69,59,46,38,56,68
69,12,27,54,95,90
69,15,49,71,76,71
69,17,35,75,98,51
69,59,93,72,93,61
69,38,73,59,87,41
69,75,73,97,68,39
69,82,12,28,70,73
69,28,73,26,67,30
69,63,15,22,56,69
69,85,52,26,74,54
70,70,94,47,64,31
70,26,46,22,71,25
70,39,52,73,60,86
70,51,52,55,80,27
70,63,90,90,80,59
70,15,40,41,82,68
70,82,83,52,85,48
70,43,92,66,69,62
70,77,73,55,81,98
70,70,25,51,97,94
70,14,59,76,83,44
70,43,49,36,78,46
70,71,70,70,59,41
70,50,91,57,64,74
70,66,41,22,82,28
71,90,91,91,54,17
71,25,18,89,74,97
71,73,84,15,78,19
71,53,40,20,61,24
71,97,35,32,98,42
71,95,29,12,91,63
71,88,95,33,98,79
71,67,46,77,69,52
71,57,91,77,80,52
71,35,41,34,93,92
71,94,92,35,78,79
71,37,74,85,85,29
71,86,74,89,77,62
71,80,47,54,55,96
72,46,43,51,73,25
72,21,98,53,54,63
72,74,84,22,59,93
72,61,34,84,84,75
72,90,16,96,56,39
72,61,50,93,74,20
72,98,69,44,89,16
72,97,98,65,58,25
72,78,10,41,68,11
72,41,63,19,67,28
72,99,82,37,93,71
72,76,38,90,63,45
72,57,93,43,60,18
72,60,38,35,79,54
72,36,51,61,65,70
72,81,21,62,66,63
72,67,63,63,57,55
72,45,45,77,72,57
72,63,79,67,76,94
72,23,64,82,75,76
73,83,73,25,67,62
73,98,52,78,59,55
73,56,62,41,67,72
73,88,73,77,78,59
73,57,12,95,76,90
73,43,27,25,82,78
73,26,27,46,61,79
73,86,93,42,58,23
73,48,34,54,63,68
73,50,23,53,84,93
73,99,67,58,99,76
73,70,10,53,58,20
73,33,93,23,83,79
73,69,36,34,82,28
73,66,61,33,69,80
74,58,49,49,66,82
74,64,29,80,60,54
74,33,43,13,91,74
74,95,57,67,55,57
74,29,98,20,84,26
74,41,31,25,82,77
74,23,91,14,68,23
74,75,34,96,90,85
74,78,11,56,67,17
74,58,46,57,73,33
74,63,18,28,57,42
74,46,22,25,90,95
74,14,15,83,98,92
74,10,68,42,81,15
74,38,60,44,56,73
75,62,22,51,73,12
75,50,39,40,78,30
75,70,32,89,99,47
75,13,36,17,60,70
75,51,48,87,82,94
75,48,27,77,66,11
75,45,94,20,88,61
75,24,36,15,89,56
75,96,49,47,72,31
75,46,87,34,58,30
75,13,77,61,97,99
75,98,89,77,70,92
75,52,20,80,54,52
75,44,28,46,68,97
76,40,16,84,79,59
76,31,30,57,66,45
76,89,76,75,88,49
76,92,33,18,73,36
76,52,14,92,59,10
76,50,48,80,70,44
76,36,28,69,76,53
76,67,84,78,71,98
76,30,31,92,80,43
76,78,88,36,80,79
76,32,66,73,84,56
76,37,33,81,81,28
76,71,78,57,82,56
77,46,29,85,88,50
77,59,60,35,82,93
77,79,36,53,54,65
77,38,86,75,91,13
77,57,42,37,77,94
77,75,62,51,70,15
77,94,25,74,80,79
77,36,74,80,57,47
77,20,87,69,72,81
77,85,53,26,98,39
77,75,98,52,81,28
77,77,96,53,83,66
77,91,20,51,63,37
77,38,74,63,69,63
77,27,15,15,69,64
77,19,49,52,76,14
77,42,46,74,93,57
78,62,30,61,91,81
78,35,34,78,95,94
78,41,65,85,64,46
78,94,70,20,66,81
78,58,77,31,88,61
78,39,89,94,86,79
78,19,13,65,73,92
78,29,90,52,56,84
78,33,53,28,84,71
78,61,63,44,60,48
78,21,36,74,64,15
78,68,53,66,58,46
78,21,37,83,75,57
78,35,54,77,84,18
78,44,49,20,75,46
78,68,70,23,98,58
78,40,39,53,92,49
78,30,27,10,84,67
79,64,45,35,59,68
79,55,94,88,83,51
79,55,71,63,82,40
79,26,52,28,58,50
79,24,11,30,62,96
79,65,35,68,83,20
79,90,66,75,91,80
79,73,74,51,83,71
79,64,92,99,63,49
79,43,66,53,63,92
79,87,55,59,63,94
79,52,72,11,96,80
79,29,35,78,76,58
79,82,40,37,82,72
80,56,38,11,58,88
80,21,59,32,72,16
80,97,73,86,56,44
80,52,50,20,54,27
80,98,30,46,58,62
80,41,74,70,61,25
80,35,13,32,56,73
80,36,84,69,61,63
80,14,96,78,90,12
80,25,30,60,69,67
80,99,42,93,65,27
80,79,64,48,59,62
81,18,92,42,74,68
81,18,39,45,83,22
81,70,83,89,78,32
81,68,17,57,93,20
81,83,99,14,96,29
81,75,58,79,93,21
81,78,39,38,73,12
81,26,63,61,88,40
81,16,25,59,89,74
81,11,35,93,88,75
82,18,86,31,95,74
82,49,42,78,91,92
82,86,41,33,57,71
82,35,65,32,79,81
82,67,82,34,93,65
82,19,14,15,72,40
82,77,68,61,70,45
82,91,95,83,67,13
82,25,66,62,72,91
82,47,26,61,74,83
82,17,19,52,70,72
82,37,62,19,86,22
82,29,60,72,93,45
83,38,42,22,83,11
83,96,10,40,71,47
83,31,51,68,98,58
83,21,18,95,77,60
83,33,19,67,66,18
83,25,18,49,70,11
83,68,54,58,81,24
83,37,83,86,93,78
83,59,10,47,85,52
83,27,17,33,80,24
84,80,12,24,91,93
84,12,51,86,91,18
84,24,76,58,80,43
84,75,80,53,69,15
84,35,97,61,97,37
84,77,46,76,84,53
84,55,76,40,62,17
84,36,74,52,55,11
84,95,10,96,90,52
84,25,49,16,79,63
84,69,18,11,93,95
84,41,85,81,90,72
85,84,38,77,98,10
85,79,18,96,87,41
85,90,32,74,73,27
85,75,94,72,93,33
85,35,12,46,85,80
85,82,77,81,61,42
85,96,28,72,93,98
85,68,85,95,82,23
85,18,57,38,99,49
85,24,18,45,77,80
85,47,84,20,83,47
85,24,41,40,55,46
85,45,55,34,56,17
85,22,80,86,68,95
85,19,68,94,77,61
85,69,44,70,63,34
86,98,67,28,81,70
86,97,87,75,82,13
86,18,61,72,78,14
86,44,67,20,59,72
86,51,67,70,81,23
86,56,87,84,89,32
86,55,16,56,57,24
86,21,30,77,56,45
86,78,78,80,76,89
86,52,81,16,70,38
86,54,99,22,62,42
86,77,30,83,62,26
86,37,67,44,81,96
86,13,69,10,57,64
86,99,50,80,68,38
86,33,40,37,73,63
87,14,37,47,84,24
87,53,43,16,84,59
87,86,23,33,74,54
87,91,73,59,62,41
87,53,12,12,97,23
87,75,95,96,90,44
87,56,63,44,59,89
87,28,19,52,72,82
87,88,19,89,96,72
88,95,55,68,61,76
88,84,59,25,91,40
88,39,19,40,59,89
88,11,94,37,71,23
88,68,88,84,60,67
88,95,69,45,84,33
88,59,73,65,56,96
88,49,94,54,68,67
88,63,74,88,94,85
88,59,27,11,95,33
88,81,21,11,76,18
88,28,42,38,80,20
88,54,57,98,64,19
89,85,19,27,68,44
89,78,51,24,80,92
89,66,48,61,83,78
89,30,67,44,94,96
89,72,30,91,54,75
89,41,57,55,79,67
89,32,86,78,81,78
89,26,78,50,62,12
89,70,10,22,84,42
89,64,78,68,96,29
89,97,70,79,73,40
89,45,88,15,63,71
89,95,45,27,81,47
89,71,12,24,62,63
89,77,95,86,96,80
89,68,58,51,72,49
89,91,19,80,99,13
89,99,51,67,79,41
89,97,75,74,57,68
89,42,17,23,58,14
89,78,79,60,74,45
90,68,70,46,77,81
90,77,11,13,61,53
90,24,72,82,95,89
90,66,75,93,97,27
90,17,80,28,75,31
90,84,86,59,63,38
90,85,50,37,70,87
90,51,44,77,61,78
90,37,65,63,90,82
90,51,69,96,94,18
90,57,96,30,88,87
91,75,68,33,63,84
91,26,87,77,65,69
91,60,34,63,88,58
91,14,47,98,92,99
91,10,27,22,92,67
91,79,93,84,66,62
91,51,58,72,59,13
91,61,63,43,59,51
91,37,88,53,57,76
91,68,54,67,96,95
91,65,79,15,81,18
91,81,48,16,80,66
91,48,31,52,92,76
92,73,36,72,78,45
92,94,35,87,75,40
92,96,22,96,89,69
92,97,74,78,98,13
92,79,33,98,87,18
92,83,83,31,78,84
92,18,46,26,66,63
92,29,91,42,94,57
92,15,74,30,97,17
92,27,34,19,60,71
92,43,64,72,82,58
92,78,77,57,84,22
92,90,74,63,78,81
92,75,80,12,57,57
92,95,77,30,67,99
92,85,11,84,68,37
92,88,74,93,74,53
92,30,41,57,87,16
92,52,41,13,80,60
92,50,45,82,80,82
92,80,36,18,89,26
92,60,53,66,83,10
92,11,16,47,58,11
92,73,26,66,59,92
92,39,17,56,97,35
93,24,92,32,92,40
93,93,36,76,80,58
93,73,97,92,90,26
93,34,55,20,88,99
93,29,43,52,55,60
93,86,78,70,74,82
93,68,94,57,79,66
93,31,25,57,57,92
93,70,75,86,65,33
93,99,79,71,70,80
93,16,59,78,69,28
93,37,79,51,90,94
93,49,18,75,60,10
93,80,25,10,60,83
93,76,94,80,66,83
93,22,48,76,82,70
93,53,52,66,84,93
93,82,20,26,66,88
94,88,82,48,93,50
94,21,20,24,70,86
94,43,93,41,79,43
94,66,10,15,59,19
94,89,96,41,88,88
94,26,91,63,77,61
94,91,22,53,65,43
94,47,24,61,83,54
94,17,31,89,91,61
94,99,40,76,84,94
94,17,33,53,95,87
94,65,29,42,80,36
94,71,42,31,94,78
94,18,48,54,74,64
94,74,51,45,89,67
94,84,80,29,92,12
94,93,77,39,64,95
